X;Y;Type
5.76718673776955;45.1868105403962;distribution
5.81532994477435;45.2506180935299;distribution
5.72943382836614;45.1898920801397;terminal
5.7506830833093;45.2016577552734;terminal
5.81278028201843;45.2180565531884;terminal
5.78302591266694;45.2054406367572;terminal
5.74420262888066;45.2019016819554;terminal
5.76228981282658;45.2110160431503;terminal
5.73669832593005;45.1910386087576;terminal
5.71956486747481;45.1905081493493;terminal
5.80260301767593;45.2301341157326;terminal
5.72629490783427;45.1904110750012;terminal
5.72971711257433;45.1930708286647;terminal
